"","original_reaction","reaction_ID","xml_equation","bigg_name"
"325","DNMPPA: dhpmp_c + h2o_c --> dhnpt_c + pi_c","DNMPPA"," dhpmp_c + h2o_c --> dhnpt_c + pi_c","Dihydroneopterin monophosphate dephosphorylase"
"326","DNTPPA: ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c","DNTPPA"," ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c","Dihydroneopterin triphosphate pyrophosphatase"
"327","ddca_t_: ddca_c <=> ddca_e","ddca_t_"," ddca_c <=> ddca_e",NA
"328","DOLK: ctp_c + dolichol_c --> cdp_c + dolp_c + h_c","DOLK"," ctp_c + dolichol_c --> cdp_c + dolp_c + h_c","Dolichol kinase"
"329","FBA: fdp_c <=> dhap_c + g3p_c","FBA"," fdp_c <=> dhap_c + g3p_c","Fructose-bisphosphate aldolase"
"330","G6PI: g6p_c <=> g6p_B_c","G6PI"," g6p_c <=> g6p_B_c","Glucose 6 phosphate isomerase"
"331","GAPD: g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c","GAPD"," g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c","Glyceraldehyde-3-phosphate dehydrogenase"
"332","DPCOAK: atp_c + dpcoa_c --> adp_c + coa_c + h_c","DPCOAK"," atp_c + dpcoa_c --> adp_c + coa_c + h_c","Dephospho-CoA kinase"
"333","DPCOAKm: atp_m + dpcoa_m --> adp_m + coa_m + h_m","DPCOAKm"," atp_m + dpcoa_m --> adp_m + coa_m + h_m","Dephospho CoA kinase  mitochondrial"
"334","DPGM: 13dpg_c <=> 23dpg_c + h_c","DPGM"," 13dpg_c <=> 23dpg_c + h_c","Diphosphoglyceromutase"
"335","GLUK: atp_c + glc_D_c --> adp_c + g6p_B_c + h_c","GLUK"," atp_c + glc_D_c --> adp_c + g6p_B_c + h_c","Glucokinase"
"336","DPR: 2dhp_c + h_c + nadph_c --> nadp_c + pant_R_c","DPR"," 2dhp_c + h_c + nadph_c --> nadp_c + pant_R_c","2-dehydropantoate 2-reductase"
"337","DPRm: 2dhp_m + h_m + nadph_m --> nadp_m + pant_R_m","DPRm"," 2dhp_m + h_m + nadph_m --> nadp_m + pant_R_m","2 dehydropantoate 2 reductase  mitochondrial"
"338","DRBK: atp_c + drib_c --> 2dr5p_c + adp_c + h_c","DRBK"," atp_c + drib_c --> 2dr5p_c + adp_c + h_c","Deoxyribokinase"
"339","DTMPK: atp_c + dtmp_c <=> adp_c + dtdp_c","DTMPK"," atp_c + dtmp_c <=> adp_c + dtdp_c","DTMP kinase"
"340","DTTPt: dttp_e <=> dttp_c","DTTPt"," dttp_e <=> dttp_c","DTTP reversible uniport"
"341","DUMPtn: dump_c <=> dump_n","DUMPtn"," dump_c <=> dump_n","DUMP nuclear transport"
"342","DURIK1: atp_c + duri_c --> adp_c + dump_c + h_c","DURIK1"," atp_c + duri_c --> adp_c + dump_c + h_c","Deoxyuridine kinase (ATP:Deoxyuridine)"
"343","DURIPP: duri_c + pi_c <=> 2dr1p_c + ura_c","DURIPP"," duri_c + pi_c <=> 2dr1p_c + ura_c","Deoxyuridine phosphorylase"
"344","DURIt2: duri_e + h_e --> duri_c + h_c","DURIt2"," duri_e + h_e --> duri_c + h_c","Deoxyuridine transport in via proton symport"
"345","DUTPDP: dutp_c + h2o_c --> dump_c + h_c + ppi_c","DUTPDP"," dutp_c + h2o_c --> dump_c + h_c + ppi_c","DUTP diphosphatase"
"346","DXHPScm: h2o_c + q6_m + spmd_c --> 13dampp_c + 4abutn_c + q6h2_m","DXHPScm"," h2o_c + q6_m + spmd_c --> 13dampp_c + 4abutn_c + q6h2_m","Deoxyhypusine synthase  cytosolicmitochondrial"
"347","D_LACDm: 2.0 ficytc_m + lac_D_m --> 2.0 focytc_m + pyr_m","D_LACDm"," 2.0 ficytc_m + lac_D_m --> 2.0 focytc_m + pyr_m","D lactate dehydrogenase  mitochondrial"
"348","D_LACtm: h_c + lac_D_c <=> h_m + lac_D_m","D_LACtm"," h_c + lac_D_c <=> h_m + lac_D_m","D lactate transport  mitochondrial"
"349","E4HGLUtm: e4hglu_c <=> e4hglu_m","E4HGLUtm"," e4hglu_c <=> e4hglu_m","L erythro 4 hydroxyglutamate mitochondrial transport via diffusion"
"350","E4HGLUtp: e4hglu_c <=> e4hglu_x","E4HGLUtp"," e4hglu_c <=> e4hglu_x","L erythro 4 hydroxyglutamate peroxisomal transport via diffusion"
"351","E4Ptm: e4p_c <=> e4p_m","E4Ptm"," e4p_c <=> e4p_m","D erythrose 4 phosphate mtiochondrial transport via diffusion"
"352","ECOAH11p: h2o_x + hxc2coa_x <=> 3hxccoa_x","ECOAH11p"," h2o_x + hxc2coa_x <=> 3hxccoa_x","3 hydroxyacyl CoA dehydratase  3 hydroxyhexacosyl CoA   peroxisomal"
"353","ECOAH4p: 3hdcoa_x <=> dc2coa_x + h2o_x","ECOAH4p"," 3hdcoa_x <=> dc2coa_x + h2o_x","3 hydroxyacyl CoA dehydratase  3 hydroxydecanoyl CoA   peroxisomal"
"354","ECOAH5p: 3hddcoa_x <=> dd2coa_x + h2o_x","ECOAH5p"," 3hddcoa_x <=> dd2coa_x + h2o_x","3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA   peroxisomal"
"355","ECOAH6p: 3htdcoa_x <=> h2o_x + td2coa_x","ECOAH6p"," 3htdcoa_x <=> h2o_x + td2coa_x","3 hydroxyacyl CoA dehydratase  3 hydroxytetradecanoyl CoA   peroxisomal"
"356","ECOAH7p: 3hhdcoa_x <=> h2o_x + hdd2coa_x","ECOAH7p"," 3hhdcoa_x <=> h2o_x + hdd2coa_x","3 hydroxyacyl CoA dehydratase  3 hydroxyhexadecanoyl CoA   peroxisomal"
"357","ECOAH8p: 3hodcoa_x <=> h2o_x + od2coa_x","ECOAH8p"," 3hodcoa_x <=> h2o_x + od2coa_x","3 hydroxyacyl CoA dehydratase  3 hydroxyoctadecanoyl CoA   peroxisomal"
"358","EHGLAT: akg_c + e4hglu_c --> 4h2oglt_c + glu_L_c","EHGLAT"," akg_c + e4hglu_c --> 4h2oglt_c + glu_L_c","L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase"
"359","EHGLATm: akg_m + e4hglu_m --> 4h2oglt_m + glu_L_m","EHGLATm"," akg_m + e4hglu_m --> 4h2oglt_m + glu_L_m","L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  mitochondrial"
"360","EHGLATp: akg_x + e4hglu_x --> 4h2oglt_x + glu_L_x","EHGLATp"," akg_x + e4hglu_x --> 4h2oglt_x + glu_L_x","L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  peroxisomal"
"361","HEX7: atp_c + fru_c --> adp_c + f6p_c + h_c","HEX7"," atp_c + fru_c --> adp_c + f6p_c + h_c","Hexokinase (D-fructose:ATP)"
"362","EPMGH: epm_c + h2o_c <=> gal_c + man_c","EPMGH"," epm_c + h2o_c <=> gal_c + man_c","Epimelibiose galactohydrolase"
"363","ERGSTt: ergst_e <=> ergst_c","ERGSTt"," ergst_e <=> ergst_c","Ergosterol reversible transport"
"364","PDHm: coa_m + nad_m + pyr_m --> accoa_m + co2_m + nadh_m","PDHm"," coa_m + nad_m + pyr_m --> accoa_m + co2_m + nadh_m","Pyruvate dehydrogenase"
"365","PFK: atp_c + f6p_c --> adp_c + fdp_c + h_c","PFK"," atp_c + f6p_c --> adp_c + fdp_c + h_c","Phosphofructokinase"
"366","ETHAK: atp_c + etha_c --> adp_c + ethamp_c + h_c","ETHAK"," atp_c + etha_c --> adp_c + ethamp_c + h_c","Ethanolamine kinase"
"367","ETHAPT_SC: 0.01 12dgr_SC_c + cdpea_c <=> cmp_c + h_c + 0.01 pe_SC_c","ETHAPT_SC"," 0.01 12dgr_SC_c + cdpea_c <=> cmp_c + h_c + 0.01 pe_SC_c","Ethanolaminephosphotransferase  yeast specific"
"368","ETOHt: etoh_e --> etoh_c","ETOHt"," etoh_e --> etoh_c","Ethanol reversible transport"
"369","ETOHtm: etoh_c <=> etoh_m","ETOHtm"," etoh_c <=> etoh_m","Ethanol transport to mitochondria  diffusion "
"370","EX_13BDglcn_LPAREN_e_RPAREN_: 13BDglcn_e --> ","EX_13BDglcn_LPAREN_e_RPAREN_"," 13BDglcn_e --> ",NA
"371","EX_4abut_LPAREN_e_RPAREN_: 4abut_e --> ","EX_4abut_LPAREN_e_RPAREN_"," 4abut_e --> ",NA
"372","EX_5aop_LPAREN_e_RPAREN_: 5aop_e --> ","EX_5aop_LPAREN_e_RPAREN_"," 5aop_e --> ",NA
"373","EX_8aonn_LPAREN_e_RPAREN_: 8aonn_e --> ","EX_8aonn_LPAREN_e_RPAREN_"," 8aonn_e --> ",NA
"374","EX_abt_LPAREN_e_RPAREN_: abt_e --> ","EX_abt_LPAREN_e_RPAREN_"," abt_e --> ",NA
"375","EX_ac_LPAREN_e_RPAREN_: ac_e --> ","EX_ac_LPAREN_e_RPAREN_"," ac_e --> ",NA
"376","EX_ade_LPAREN_e_RPAREN_: ade_e --> ","EX_ade_LPAREN_e_RPAREN_"," ade_e --> ",NA
"377","EX_adn_LPAREN_e_RPAREN_: adn_e --> ","EX_adn_LPAREN_e_RPAREN_"," adn_e --> ",NA
"378","EX_akg_LPAREN_e_RPAREN_: akg_e --> ","EX_akg_LPAREN_e_RPAREN_"," akg_e --> ",NA
"379","EX_ala_L_LPAREN_e_RPAREN_: ala_L_e --> ","EX_ala_L_LPAREN_e_RPAREN_"," ala_L_e --> ",NA
"380","EX_alltn_LPAREN_e_RPAREN_: alltn_e --> ","EX_alltn_LPAREN_e_RPAREN_"," alltn_e --> ",NA
"381","EX_alltt_LPAREN_e_RPAREN_: alltt_e --> ","EX_alltt_LPAREN_e_RPAREN_"," alltt_e --> ",NA
"382","EX_amet_LPAREN_e_RPAREN_: amet_e --> ","EX_amet_LPAREN_e_RPAREN_"," amet_e --> ",NA
"383","EX_arab_D_LPAREN_e_RPAREN_: arab_D_e --> ","EX_arab_D_LPAREN_e_RPAREN_"," arab_D_e --> ",NA
"384","EX_arab_L_LPAREN_e_RPAREN_: arab_L_e --> ","EX_arab_L_LPAREN_e_RPAREN_"," arab_L_e --> ",NA
"385","EX_arg_L_LPAREN_e_RPAREN_: arg_L_e --> ","EX_arg_L_LPAREN_e_RPAREN_"," arg_L_e --> ",NA
"386","EX_asn_L_LPAREN_e_RPAREN_: asn_L_e --> ","EX_asn_L_LPAREN_e_RPAREN_"," asn_L_e --> ",NA
"387","EX_asp_L_LPAREN_e_RPAREN_: asp_L_e --> ","EX_asp_L_LPAREN_e_RPAREN_"," asp_L_e --> ",NA
"388","EX_buca_LPAREN_e_RPAREN_: buca_e --> ","EX_buca_LPAREN_e_RPAREN_"," buca_e --> ",NA
"389","EX_btn_LPAREN_e_RPAREN_: btn_e --> ","EX_btn_LPAREN_e_RPAREN_"," btn_e --> ",NA
"390","EX_chol_LPAREN_e_RPAREN_: chol_e --> ","EX_chol_LPAREN_e_RPAREN_"," chol_e --> ",NA
"391","EX_cit_LPAREN_e_RPAREN_: cit_e --> ","EX_cit_LPAREN_e_RPAREN_"," cit_e --> ",NA
"392","EX_co2_LPAREN_e_RPAREN_: co2_e --> ","EX_co2_LPAREN_e_RPAREN_"," co2_e --> ",NA
"393","EX_crn_LPAREN_e_RPAREN_: crn_e --> ","EX_crn_LPAREN_e_RPAREN_"," crn_e --> ",NA
"394","EX_csn_LPAREN_e_RPAREN_: csn_e --> ","EX_csn_LPAREN_e_RPAREN_"," csn_e --> ",NA
"395","EX_cys_L_LPAREN_e_RPAREN_: cys_L_e --> ","EX_cys_L_LPAREN_e_RPAREN_"," cys_L_e --> ",NA
"396","EX_cytd_LPAREN_e_RPAREN_: cytd_e --> ","EX_cytd_LPAREN_e_RPAREN_"," cytd_e --> ",NA
"397","EX_dad_2_LPAREN_e_RPAREN_: dad_2_e --> ","EX_dad_2_LPAREN_e_RPAREN_"," dad_2_e --> ",NA
"398","EX_dann_LPAREN_e_RPAREN_: dann_e --> ","EX_dann_LPAREN_e_RPAREN_"," dann_e --> ",NA
"399","EX_dcyt_LPAREN_e_RPAREN_: dcyt_e --> ","EX_dcyt_LPAREN_e_RPAREN_"," dcyt_e --> ",NA
"400","EX_ddca_LPAREN_e_RPAREN_: ddca_e --> ","EX_ddca_LPAREN_e_RPAREN_"," ddca_e --> ",NA
"401","EX_dgsn_LPAREN_e_RPAREN_: dgsn_e --> ","EX_dgsn_LPAREN_e_RPAREN_"," dgsn_e --> ",NA
"402","EX_din_LPAREN_e_RPAREN_: din_e --> ","EX_din_LPAREN_e_RPAREN_"," din_e --> ",NA
"403","EX_dttp_LPAREN_e_RPAREN_: dttp_e --> ","EX_dttp_LPAREN_e_RPAREN_"," dttp_e --> ",NA
"404","EX_duri_LPAREN_e_RPAREN_: duri_e --> ","EX_duri_LPAREN_e_RPAREN_"," duri_e --> ",NA
"405","EX_ergst_LPAREN_e_RPAREN_: ergst_e --> ","EX_ergst_LPAREN_e_RPAREN_"," ergst_e --> ",NA
"406","EX_etoh_LPAREN_e_RPAREN_: etoh_e --> ","EX_etoh_LPAREN_e_RPAREN_"," etoh_e --> ",NA
"407","EX_fmn_LPAREN_e_RPAREN_: fmn_e --> ","EX_fmn_LPAREN_e_RPAREN_"," fmn_e --> ",NA
"408","EX_for_LPAREN_e_RPAREN_: for_e --> ","EX_for_LPAREN_e_RPAREN_"," for_e --> ",NA
"409","EX_fru_LPAREN_e_RPAREN_: fru_e --> ","EX_fru_LPAREN_e_RPAREN_"," fru_e --> ",NA
"410","EX_fum_LPAREN_e_RPAREN_: fum_e --> ","EX_fum_LPAREN_e_RPAREN_"," fum_e --> ",NA
"411","EX_gal_LPAREN_e_RPAREN_: gal_e --> ","EX_gal_LPAREN_e_RPAREN_"," gal_e --> ",NA
"412","EX_gam6p_LPAREN_e_RPAREN_: gam6p_e --> ","EX_gam6p_LPAREN_e_RPAREN_"," gam6p_e --> ",NA
"413","EX_gcald_LPAREN_e_RPAREN_: gcald_e --> ","EX_gcald_LPAREN_e_RPAREN_"," gcald_e --> ",NA
"414","EX_glc_LPAREN_e_RPAREN_: glc_D_e <=> ","EX_glc_LPAREN_e_RPAREN_"," glc_D_e <=> ",NA
"415","EX_gln_L_LPAREN_e_RPAREN_: gln_L_e --> ","EX_gln_L_LPAREN_e_RPAREN_"," gln_L_e --> ",NA
"416","EX_glu_L_LPAREN_e_RPAREN_: glu_L_e --> ","EX_glu_L_LPAREN_e_RPAREN_"," glu_L_e --> ",NA
"417","EX_gly_LPAREN_e_RPAREN_: gly_e --> ","EX_gly_LPAREN_e_RPAREN_"," gly_e --> ",NA
"418","EX_glyc_LPAREN_e_RPAREN_: glyc_e --> ","EX_glyc_LPAREN_e_RPAREN_"," glyc_e --> ",NA
"419","EX_gsn_LPAREN_e_RPAREN_: gsn_e --> ","EX_gsn_LPAREN_e_RPAREN_"," gsn_e --> ",NA
"420","EX_gthox_LPAREN_e_RPAREN_: gthox_e --> ","EX_gthox_LPAREN_e_RPAREN_"," gthox_e --> ",NA
"421","EX_gua_LPAREN_e_RPAREN_: gua_e --> ","EX_gua_LPAREN_e_RPAREN_"," gua_e --> ",NA
"422","EX_h2o_LPAREN_e_RPAREN_: h2o_e <=> ","EX_h2o_LPAREN_e_RPAREN_"," h2o_e <=> ",NA
"423","EX_h_LPAREN_e_RPAREN_: h_e <=> ","EX_h_LPAREN_e_RPAREN_"," h_e <=> ",NA
"424","EX_hdca_LPAREN_e_RPAREN_: hdca_e --> ","EX_hdca_LPAREN_e_RPAREN_"," hdca_e --> ",NA
"425","EX_hca_LPAREN_e_RPAREN_: hca_e --> ","EX_hca_LPAREN_e_RPAREN_"," hca_e --> ",NA
"426","EX_hdcea_LPAREN_e_RPAREN_: hdcea_e --> ","EX_hdcea_LPAREN_e_RPAREN_"," hdcea_e --> ",NA
"427","EX_his_L_LPAREN_e_RPAREN_: his_L_e --> ","EX_his_L_LPAREN_e_RPAREN_"," his_L_e --> ",NA
"428","EX_hxan_LPAREN_e_RPAREN_: hxan_e --> ","EX_hxan_LPAREN_e_RPAREN_"," hxan_e --> ",NA
"429","EX_ile_L_LPAREN_e_RPAREN_: ile_L_e --> ","EX_ile_L_LPAREN_e_RPAREN_"," ile_L_e --> ",NA
"430","EX_inost_LPAREN_e_RPAREN_: inost_e <=> ","EX_inost_LPAREN_e_RPAREN_"," inost_e <=> ",NA
"431","EX_ins_LPAREN_e_RPAREN_: ins_e --> ","EX_ins_LPAREN_e_RPAREN_"," ins_e --> ",NA
"432","EX_k_LPAREN_e_RPAREN_: k_e <=> ","EX_k_LPAREN_e_RPAREN_"," k_e <=> ",NA
"433","EX_lac_L_LPAREN_e_RPAREN_: lac_L_e --> ","EX_lac_L_LPAREN_e_RPAREN_"," lac_L_e --> ",NA
"434","EX_leu_L_LPAREN_e_RPAREN_: leu_L_e --> ","EX_leu_L_LPAREN_e_RPAREN_"," leu_L_e --> ",NA
"435","EX_lys_L_LPAREN_e_RPAREN_: lys_L_e --> ","EX_lys_L_LPAREN_e_RPAREN_"," lys_L_e --> ",NA
"436","EX_mal_L_LPAREN_e_RPAREN_: mal_L_e --> ","EX_mal_L_LPAREN_e_RPAREN_"," mal_L_e --> ",NA
"437","EX_malt_LPAREN_e_RPAREN_: malt_e --> ","EX_malt_LPAREN_e_RPAREN_"," malt_e --> ",NA
"438","EX_man_LPAREN_e_RPAREN_: man_e --> ","EX_man_LPAREN_e_RPAREN_"," man_e --> ",NA
"439","EX_melib_LPAREN_e_RPAREN_: melib_e --> ","EX_melib_LPAREN_e_RPAREN_"," melib_e --> ",NA
"440","EX_met_L_LPAREN_e_RPAREN_: met_L_e --> ","EX_met_L_LPAREN_e_RPAREN_"," met_L_e --> ",NA
"441","EX_mmet_LPAREN_e_RPAREN_: mmet_e --> ","EX_mmet_LPAREN_e_RPAREN_"," mmet_e --> ",NA
"442","EX_na1_LPAREN_e_RPAREN_: na1_e <=> ","EX_na1_LPAREN_e_RPAREN_"," na1_e <=> ",NA
"443","EX_nh4_LPAREN_e_RPAREN_: nh4_e <=> ","EX_nh4_LPAREN_e_RPAREN_"," nh4_e <=> ",NA
"444","EX_nmn_LPAREN_e_RPAREN_: nmn_e --> ","EX_nmn_LPAREN_e_RPAREN_"," nmn_e --> ",NA
"445","EX_o2_LPAREN_e_RPAREN_: o2_e <=> ","EX_o2_LPAREN_e_RPAREN_"," o2_e <=> ",NA
"446","EX_ocdca_LPAREN_e_RPAREN_: ocdca_e --> ","EX_ocdca_LPAREN_e_RPAREN_"," ocdca_e --> ",NA
"447","EX_ocdcea_LPAREN_e_RPAREN_: ocdcea_e --> ","EX_ocdcea_LPAREN_e_RPAREN_"," ocdcea_e --> ",NA
"448","EX_ocdcya_LPAREN_e_RPAREN_: ocdcya_e --> ","EX_ocdcya_LPAREN_e_RPAREN_"," ocdcya_e --> ",NA
"449","EX_orn_LPAREN_e_RPAREN_: orn_e --> ","EX_orn_LPAREN_e_RPAREN_"," orn_e --> ",NA
"450","EX_pap_LPAREN_e_RPAREN_: pap_e --> ","EX_pap_LPAREN_e_RPAREN_"," pap_e --> ",NA
"451","EX_phe_L_LPAREN_e_RPAREN_: phe_L_e --> ","EX_phe_L_LPAREN_e_RPAREN_"," phe_L_e --> ",NA
"452","EX_pi_LPAREN_e_RPAREN_: pi_e <=> ","EX_pi_LPAREN_e_RPAREN_"," pi_e <=> ",NA
"453","EX_pnto_R_LPAREN_e_RPAREN_: pnto_R_e --> ","EX_pnto_R_LPAREN_e_RPAREN_"," pnto_R_e --> ",NA
"454","EX_pro_L_LPAREN_e_RPAREN_: pro_L_e --> ","EX_pro_L_LPAREN_e_RPAREN_"," pro_L_e --> ",NA
"455","EX_ptrc_LPAREN_e_RPAREN_: ptrc_e --> ","EX_ptrc_LPAREN_e_RPAREN_"," ptrc_e --> ",NA
"456","EX_pyr_LPAREN_e_RPAREN_: pyr_e --> ","EX_pyr_LPAREN_e_RPAREN_"," pyr_e --> ",NA
"457","EX_rib_D_LPAREN_e_RPAREN_: rib_D_e --> ","EX_rib_D_LPAREN_e_RPAREN_"," rib_D_e --> ",NA
"458","EX_ribflv_LPAREN_e_RPAREN_: ribflv_e --> ","EX_ribflv_LPAREN_e_RPAREN_"," ribflv_e --> ",NA
"459","EX_sbt_D_LPAREN_e_RPAREN_: sbt_D_e --> ","EX_sbt_D_LPAREN_e_RPAREN_"," sbt_D_e --> ",NA
"460","EX_sbt_L_LPAREN_e_RPAREN_: sbt_L_e --> ","EX_sbt_L_LPAREN_e_RPAREN_"," sbt_L_e --> ",NA
"461","EX_ser_L_LPAREN_e_RPAREN_: ser_L_e --> ","EX_ser_L_LPAREN_e_RPAREN_"," ser_L_e --> ",NA
"462","EX_so4_LPAREN_e_RPAREN_: so4_e <=> ","EX_so4_LPAREN_e_RPAREN_"," so4_e <=> ",NA
"463","EX_spmd_LPAREN_e_RPAREN_: spmd_e --> ","EX_spmd_LPAREN_e_RPAREN_"," spmd_e --> ",NA
"464","EX_sprm_LPAREN_e_RPAREN_: sprm_e --> ","EX_sprm_LPAREN_e_RPAREN_"," sprm_e --> ",NA
"465","EX_srb_L_LPAREN_e_RPAREN_: srb_L_e --> ","EX_srb_L_LPAREN_e_RPAREN_"," srb_L_e --> ",NA
"466","EX_succ_LPAREN_e_RPAREN_: succ_e --> ","EX_succ_LPAREN_e_RPAREN_"," succ_e --> ",NA
"467","EX_thm_LPAREN_e_RPAREN_: thm_e --> ","EX_thm_LPAREN_e_RPAREN_"," thm_e --> ",NA
"468","EX_thmmp_LPAREN_e_RPAREN_: thmmp_e --> ","EX_thmmp_LPAREN_e_RPAREN_"," thmmp_e --> ",NA
"469","EX_thmpp_LPAREN_e_RPAREN_: thmpp_e --> ","EX_thmpp_LPAREN_e_RPAREN_"," thmpp_e --> ",NA
"470","EX_thr_L_LPAREN_e_RPAREN_: thr_L_e --> ","EX_thr_L_LPAREN_e_RPAREN_"," thr_L_e --> ",NA
"471","EX_thym_LPAREN_e_RPAREN_: thym_e --> ","EX_thym_LPAREN_e_RPAREN_"," thym_e --> ",NA
"472","EX_thymd_LPAREN_e_RPAREN_: thymd_e --> ","EX_thymd_LPAREN_e_RPAREN_"," thymd_e --> ",NA
"473","EX_tre_LPAREN_e_RPAREN_: tre_e --> ","EX_tre_LPAREN_e_RPAREN_"," tre_e --> ",NA
"474","EX_trp_L_LPAREN_e_RPAREN_: trp_L_e --> ","EX_trp_L_LPAREN_e_RPAREN_"," trp_L_e --> ",NA
"475","EX_ttdca_LPAREN_e_RPAREN_: ttdca_e --> ","EX_ttdca_LPAREN_e_RPAREN_"," ttdca_e --> ",NA
"476","EX_tyr_L_LPAREN_e_RPAREN_: tyr_L_e --> ","EX_tyr_L_LPAREN_e_RPAREN_"," tyr_L_e --> ",NA
"477","EX_ura_LPAREN_e_RPAREN_: ura_e --> ","EX_ura_LPAREN_e_RPAREN_"," ura_e --> ",NA
"478","EX_urea_LPAREN_e_RPAREN_: urea_e --> ","EX_urea_LPAREN_e_RPAREN_"," urea_e --> ",NA
"479","EX_uri_LPAREN_e_RPAREN_: uri_e --> ","EX_uri_LPAREN_e_RPAREN_"," uri_e --> ",NA
"480","EX_val_L_LPAREN_e_RPAREN_: val_L_e --> ","EX_val_L_LPAREN_e_RPAREN_"," val_L_e --> ",NA
"481","EX_xan_LPAREN_e_RPAREN_: xan_e --> ","EX_xan_LPAREN_e_RPAREN_"," xan_e --> ",NA
"482","EX_xtsn_LPAREN_e_RPAREN_: xtsn_e --> ","EX_xtsn_LPAREN_e_RPAREN_"," xtsn_e --> ",NA
"483","EX_xyl_D_LPAREN_e_RPAREN_: xyl_D_e --> ","EX_xyl_D_LPAREN_e_RPAREN_"," xyl_D_e --> ",NA
"484","EX_xylt_LPAREN_e_RPAREN_: xylt_e --> ","EX_xylt_LPAREN_e_RPAREN_"," xylt_e --> ",NA
"485","EX_zymst_LPAREN_e_RPAREN_: zymst_e --> ","EX_zymst_LPAREN_e_RPAREN_"," zymst_e --> ",NA
"486","FA100tp: dca_c --> dca_x","FA100tp"," dca_c --> dca_x","Fatty acid peroxisomal transport"
"487","FA120ACPH: ddcaACP_c + h2o_c <=> ACP_c + ddca_c + h_c","FA120ACPH"," ddcaACP_c + h2o_c <=> ACP_c + ddca_c + h_c",NA
"488","FA120ACPtm: ddcaACP_m --> ddcaACP_c","FA120ACPtm"," ddcaACP_m --> ddcaACP_c","Fatty acyl ACP mitochondrial transport"
"489","FA120tp: ddca_c --> ddca_x","FA120tp"," ddca_c --> ddca_x","Fatty acid peroxisomal transport"
"490","FA140ACPH: h2o_c + myrsACP_c <=> ACP_c + h_c + ttdca_c","FA140ACPH"," h2o_c + myrsACP_c <=> ACP_c + h_c + ttdca_c",NA
"491","FA140ACPtm: myrsACP_m --> myrsACP_c","FA140ACPtm"," myrsACP_m --> myrsACP_c","Fatty acyl ACP mitochondrial transport"
"492","FA140COAabcp: atp_x + h2o_x + tdcoa_c --> adp_x + h_x + pi_x + tdcoa_x","FA140COAabcp"," atp_x + h2o_x + tdcoa_c --> adp_x + h_x + pi_x + tdcoa_x","Fatty acid peroxisomal transport via ABC system"
"493","FA140tp: ttdca_c --> ttdca_x","FA140tp"," ttdca_c --> ttdca_x","Fatty acid peroxisomal transport"
"494","FA141ACPH: h2o_c + tdeACP_c <=> ACP_c + h_c + ttdcea_c","FA141ACPH"," h2o_c + tdeACP_c <=> ACP_c + h_c + ttdcea_c",NA
"495","FA141ACPtm: tdeACP_m --> tdeACP_c","FA141ACPtm"," tdeACP_m --> tdeACP_c","Fatty acyl ACP mitochondrial transport"
"496","FA141COAabcp: atp_x + h2o_x + tdecoa_c --> adp_x + h_x + pi_x + tdecoa_x","FA141COAabcp"," atp_x + h2o_x + tdecoa_c --> adp_x + h_x + pi_x + tdecoa_x","Fatty acid peroxisomal transport via ABC system"
"497","FA141tp: ttdcea_c --> ttdcea_x","FA141tp"," ttdcea_c --> ttdcea_x","Fatty acid peroxisomal transport"
"498","FA160ACPH: h2o_c + palmACP_c <=> ACP_c + h_c + hdca_c","FA160ACPH"," h2o_c + palmACP_c <=> ACP_c + h_c + hdca_c",NA
"499","FA160ACPtm: palmACP_m --> palmACP_c","FA160ACPtm"," palmACP_m --> palmACP_c","Fatty acyl ACP mitochondrial transport"
"500","FA160COAabcp: atp_x + h2o_x + pmtcoa_c --> adp_x + h_x + pi_x + pmtcoa_x","FA160COAabcp"," atp_x + h2o_x + pmtcoa_c --> adp_x + h_x + pi_x + pmtcoa_x","Fatty acyl CoA peroxisomal transport via ABC system"
"501","FA160tp: hdca_c --> hdca_x","FA160tp"," hdca_c --> hdca_x","Fatty acid peroxisomal transport"
"502","FA161ACPH: h2o_c + hdeACP_c <=> ACP_c + h_c + hdcea_c","FA161ACPH"," h2o_c + hdeACP_c <=> ACP_c + h_c + hdcea_c",NA
"503","FA161ACPtm: hdeACP_m --> hdeACP_c","FA161ACPtm"," hdeACP_m --> hdeACP_c","Fatty acyl ACP mitochondrial transport"
"504","FA161COAabcp: atp_x + h2o_x + hdcoa_c --> adp_x + h_x + hdcoa_x + pi_x","FA161COAabcp"," atp_x + h2o_x + hdcoa_c --> adp_x + h_x + hdcoa_x + pi_x","Fatty acyl CoA peroxisomal transport via ABC system"
"505","FA161tp: hdcea_c --> hdcea_x","FA161tp"," hdcea_c --> hdcea_x","Fatty acid peroxisomal transport"
"506","FA180ACPH: h2o_c + ocdcaACP_c <=> ACP_c + h_c + ocdca_c","FA180ACPH"," h2o_c + ocdcaACP_c <=> ACP_c + h_c + ocdca_c","Fatty acyl ACP hydrolase"
